ID,Symbol,Company Name
204,ABAN.N0000,ABANS ELECTRICALS PLC
1845,AFSL.N0000,ABANS FINANCE PLC
2065,AEL.N0000,ACCESS ENGINEERING PLC
472,ACL.N0000,ACL CABLES PLC
406,APLA.N0000,ACL PLASTICS PLC
554,ACME.N0000,ACME PRINTING & PACKAGING PLC
163,AGAL.N0000,AGALAWATTE  PLANTATIONS  PLC
2035,AGST.X0000,AGSTAR PLC
2026,AGST.N0000,AGSTAR PLC
144,AHUN.N0000,AITKEN SPENCE HOTEL HOLDINGS PLC
2789,ASPM.N0000,AITKEN SPENCE PLANTATION MANAGEMENTS PLC
343,SPEN.N0000,AITKEN SPENCE PLC
395,ALLI.N0000,ALLIANCE FINANCE COMPANY PLC
5511,AFS.N0000,ALPHA FIRE SERVICES PLC
3082,ALUM.N0000,ALUMEX PLC
3046,ABL.N0000,AMANA BANK PLC
364,ATL.N0000,AMANA TAKAFUL PLC
3575,ATLL.N0000,AMANA TAKAFUL LIFE PLC
2145,TAP.N0000,AMBEON CAPITAL PLC
121,GREG.N0000,AMBEON HOLDINGS PLC
1800,AMCL.N0000,AMW CAPITAL LEASING AND FINANCE PLC
2846,ALHP.N0000,ANILANA HOTELS AND PROPERTIES PLC
3244,AINS.N0000,ARPICO INSURANCE PLC
5145,AAF.P0000,ASIA ASSET FINANCE PLC
2025,AAF.N0000,ASIA ASSET FINANCE PLC
160,ACAP.N0000,ASIA CAPITAL PLC
2209,ASIY.N0000,ASIA SIYAKA COMMODITIES LIMITED
143,AHPL.N0000,ASIAN HOTELS AND PROPERTIES PLC
240,AMSL.N0000,ASIRI SURGICAL HOSPITAL PLC
225,ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC
1844,AMF.N0000,ASSOCIATED MOTOR FINANCE COMPANY PLC
5753,AGPL.N0000,Agarapatana Plantations PLC
3794,BPPL.N0000,B P P L HOLDINGS PLC
188,BFL.N0000,BAIRAHA FARMS PLC
193,BALA.N0000,BALANGODA  PLANTATIONS  PLC
3080,BRR.N0000,BANSEI ROYAL RESORTS HIKKADUWA PLC
2188,BERU.N0000,BERUWALA RESORTS PLC
1802,BLI.N0000,BIMPUTH LANKA INVESTMENTS PLC
301,BLUE.X0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC
135,BLUE.N0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC
189,BOGA.N0000,BOGALA GRAPHITE LANKA PLC
34,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC
25,BRWN.N0000,BROWN & COMPANY PLC
128,BBH.N0000,BROWNS BEACH HOTELS PLC
1851,BIL.N0000,BROWNS INVESTMENTS PLC
165,BUKI.N0000,BUKIT DARAH PLC
308,COLO.N0000,C M HOLDINGS PLC
510,CTHR.N0000,C T HOLDINGS PLC
520,CTLD.N0000,C T LAND DEVELOPMENT PLC
335,CWM.N0000,C. W. MACKIE PLC
6052,CSLK.N0000,CABLE SOLUTIONS PLC
6297,CALC.U0000,CAL FIVE YEAR CLOSED END FUND (“Units”)
5892,CALI.U0000,CAL FIVE YEAR OPTIMUM FUND (“Units”)
6378,CALH.N0000,CAPITAL ALLIANCE HOLDINGS PLC
5293,CALT.N0000,CAPITAL ALLIANCE PLC
551,CARG.N0000,CARGILLS (CEYLON) PLC
5852,CBNK.N0000,CARGILLS BANK PLC
22,CABO.N0000,CARGO BOAT DEVELOPMENT COMPANY PLC
336,CARS.N0000,CARSON CUMBERBATCH PLC
447,CFIN.N0000,CENTRAL FINANCE COMPANY PLC
224,CIND.N0000,CENTRAL INDUSTRIES PLC
981,CINS.X0000,CEYLINCO HOLDINGS PLC
91,CINS.N0000,CEYLINCO HOLDINGS PLC
560,BREW.N0000,CEYLON BEVERAGE HOLDINGS PLC
426,CCS.N0000,CEYLON COLD STORES PLC
74,GRAN.N0000,CEYLON GRAIN ELEVATORS PLC
196,GUAR.N0000,CEYLON GUARDIAN INVESTMENT TRUST PLC
453,CHL.X0000,CEYLON HOSPITALS PLC
264,CHL.N0000,CEYLON HOSPITALS PLC
383,CHOT.N0000,CEYLON HOTELS CORPORATION PLC
133,CINV.N0000,CEYLON INVESTMENT PLC
461,KZOO.N0000,CEYLON LAND & EQUITY PLC
1522,CTBL.N0000,CEYLON TEA BROKERS PLC
381,CTC.N0000,CEYLON TOBACCO COMPANY PLC
529,CHMX.N0000,CHEMANEX PLC
131,LLUB.N0000,CHEVRON LUBRICANTS  LANKA  PLC
4966,CWL.N0000,CHRISSWORLD PLC
328,CIC.X0000,C I C HOLDINGS PLC
162,CIC.N0000,C I C HOLDINGS PLC
1630,CDB.N0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC
1858,CDB.X0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC
101,REEF.N0000,CITRUS LEISURE PLC
311,CHOU.N0000,CITY HOUSING & REAL ESTATE CO. PLC
5353,COOP.N0000,Co-operative Insurance Company PLC
44,PHAR.N0000,COLOMBO CITY HOLDINGS PLC
267,DOCK.N0000,COLOMBO DOCKYARD PLC
385,CFI.N0000,COLOMBO FORT INVESTMENTS PLC
277,CIT.N0000,COLOMBO INVESTMENT TRUST PLC
378,CLND.N0000,COLOMBO LAND AND DEVELOPMENT COMPANY PLC
396,COMB.X0000,COMMERCIAL BANK OF CEYLON PLC
208,COMB.N0000,COMMERCIAL BANK OF CEYLON PLC
1798,COCR.N0000,COMMERCIAL CREDIT AND FINANCE PLC
490,COMD.N0000,COMMERCIAL DEVELOPMENT COMPANY PLC
168,SOY.N0000,CONVENIENCE FOODS LANKA PLC
123,DPL.N0000,DANKOTUWA PORCELAIN PLC
239,DFCC.N0000,DFCC BANK PLC
471,DIAL.N0000,DIALOG AXIATA PLC
1965,CALF.N0000,DIALOG FINANCE PLC
375,DIMO.N0000,DIESEL & MOTOR ENGINEERING PLC
6172,PKME.N0000,DIGITAL MOBILITY SOLUTIONS LANKA PLC
327,CTEA.N0000,DILMAH CEYLON TEA COMPANY PLC
399,DIPD.N0000,DIPPED PRODUCTS PLC
68,DIST.N0000,DISTILLERIES COMPANY OF SRI LANKA PLC
455,STAF.N0000,DOLPHIN HOTELS PLC
26,EBCR.N0000,E B CREASY & COMPANY PLC
5173,EML.N0000,E M L CONSULTANTS PLC
460,ECL.N0000,E - CHANNELLING PLC
403,EAST.N0000,EAST WEST PROPERTIES PLC
405,EMER.N0000,EASTERN MERCHANTS PLC
348,EDEN.N0000,EDEN HOTEL LANKA PLC
115,ELPL.N0000,ELPITIYA PLANTATIONS PLC
113,ETWO.N0000,EQUITY TWO PLC
5231,PACK.N0000,Ex-pack Corrugated Cartons PLC
5472,EXT.N0000,EXTERMINATORS PLC
528,CFVF.N0000,FIRST CAPITAL HOLDINGS PLC
5330,FCT.N0000,First Capital Treasuries PLC
116,GHLL.N0000,GALADARI HOTELS (LANKA) PLC
533,WAPO.N0000,GALLE FACE CAPITAL PARTNERS PLC
466,GEST.N0000,GESTETNER OF CEYLON PLC
2091,MEL.N0000,GREENTECH ENERGY PLC
132,HAPU.N0000,HAPUGASTENNE PLANTATIONS PLC
167,HARI.N0000,HARISCHANDRA MILLS PLC
340,HNB.X0000,HATTON NATIONAL BANK PLC
172,HNB.N0000,HATTON NATIONAL BANK PLC
4058,HPL.N0000,HATTON PLANTATIONS PLC
31,HAYC.N0000,HAYCARB PLC
331,MGT.N0000,HAYLEYS FABRIC PLC
